Id;f8;f8ket;f504;f504ket;f502;f505;f5a1;f5a1ket;f1101;f1101ket;f5b;f5c;f5cket;f5d;f5dket;f18a;f18aket;f18b;f18bket;f18d;f1201;f1201ket;f14;f14ket;f15;f15ket;f1761;f1762;f1762ket;f1761ket;f1763;f1763ket;f1764;f1764ket;f1765;f1765ket;f1766;f1766ket;f1767;f1767ket;f1768;f1768ket;f1769;f1769ket;f1770;f1770ket;f1773;f1773ket;f1774;f1774ket;f1771;f1771ket;f1772;f1772ket;f21;f22;f23;f24;f25;f26;f27;f21ket;f22ket;f23ket;f24ket;f25ket;f26ket;f27ket;f301;f302;f303;f401;f401ket;f402;f402ket;f403;f403ket;f404;f404ket;f405;f405ket;f406;f406ket;f407;f407ket;f408;f408ket;f409;f409ket;f410;f410ket;f411;f411ket;f412;f412ket;f413;f413ket;f414;f414ket
ID-011;1.0;Bekerja (full time / part time);1.0;Ya;15.0;7500000.0;;;6.0;Wiraswasta/perusahaan sendiri;Indah Jaya Mandiri;;;1.0;Lokal/Wilayah/Wiraswasta Tidak Berbadan Hukum;;;;;;1.0;Biaya Sendiri/Keluarga;4.0;Kurang Erat;2.0;Tingkat yang Sama;3.0;4.0;Tinggi;Cukup Tinggi;4.0;Tinggi;4.0;Tinggi;3.0;Cukup Tinggi;3.0;Cukup Tinggi;4.0;Tinggi;3.0;Cukup Tinggi;4.0;Tinggi;2.0;Rendah;4.0;Tinggi;3.0;Tinggi;3.0;Cukup Tinggi;4.0;Tinggi;1;3;1;4;3;3;3;Sangat Besar;Cukup Besar;Sangat Besar;Kurang Besar;Cukup Besar;Cukup Besar;Cukup Besar;3.0;3.0;3.0;0;Tidak;0;Tidak;0;Tidak;0;Tidak;0;Tidak;0;Tidak;0;Tidak;1;Ya;1;Ya;0;Tidak;0;Tidak;0;Tidak;0;Tidak;1;Ya
ID-012;1.0;Bekerja (full time / part time);2.0;Tidak;2.0;4500000.0;;;1.0;Instansi pemerintah;Kementerian Dalam Negeri;;;2.0;Nasional/Wiraswasta Berbadan Hukum;;;;;;6.0;Beasiswa Perusahaan/Swasta;2.0;Erat;1.0;Setingkat Lebih Tinggi;2.0;2.0;Rendah;Rendah;1.0;Sangat Rendah;2.0;Rendah;4.0;Tinggi;3.0;Cukup Tinggi;3.0;Cukup Tinggi;1.0;Sangat Rendah;3.0;Cukup Tinggi;4.0;Tinggi;2.0;Rendah;3.0;Sangat Tinggi;3.0;Cukup Tinggi;5.0;Sangat Tinggi;5;3;1;2;2;5;4;Tidak Sama Sekali;Cukup Besar;Sangat Besar;Besar;Besar;Tidak Sama Sekali;Kurang Besar;6.0;2.0;2.0;0;Tidak;0;Tidak;0;Tidak;1;Ya;1;Ya;0;Tidak;1;Ya;1;Ya;1;Ya;1;Ya;1;Ya;0;Tidak;0;Tidak;0;Tidak
ID-013;3.0;Wiraswasta;;;;;;;;;;4.0;Freelance/Kerja Lepas;;;;;;;;3.0;Beasiswa BIDIKMISI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;3;2;1;5;2;Besar;Besar;Cukup Besar;Besar;Sangat Besar;Tidak Sama Sekali;Besar;0.0;0.0;;1;Ya;0;Tidak;1;Ya;1;Ya;1;Ya;1;Ya;0;Tidak;1;Ya;0;Tidak;0;Tidak;1;Ya;0;Tidak;0;Tidak;0;Tidak
ID-014;1.0;Bekerja (full time / part time);1.0;Ya;6.0;4500000.0;;;1.0;Instansi pemerintah;Kementerian Keuangan;;;2.0;Nasional/Wiraswasta Berbadan Hukum;;;;;;1.0;Biaya Sendiri/Keluarga;2.0;Erat;1.0;Setingkat Lebih Tinggi;2.0;2.0;Rendah;Rendah;4.0;Tinggi;4.0;Tinggi;2.0;Rendah;4.0;Tinggi;5.0;Sangat Tinggi;5.0;Sangat Tinggi;4.0;Tinggi;5.0;Sangat Tinggi;2.0;Rendah;3.0;Cukup Tinggi;4.0;Tinggi;3.0;Cukup Tinggi;1;3;1;2;2;4;3;Sangat Besar;Cukup Besar;Sangat Besar;Besar;Besar;Kurang Besar;Cukup Besar;5.0;2.0;2.0;1;Ya;0;Tidak;0;Tidak;1;Ya;0;Tidak;0;Tidak;0;Tidak;1;Ya;1;Ya;0;Tidak;0;Tidak;0;Tidak;0;Tidak;0;Tidak
ID-015;1.0;Bekerja (full time / part time);2.0;Tidak;18.0;7500000.0;;;6.0;Wiraswasta/perusahaan sendiri;Budi Jaya Enterprises;;;1.0;Lokal/Wilayah/Wiraswasta Tidak Berbadan Hukum;;;;;;1.0;Biaya Sendiri/Keluarga;4.0;Kurang Erat;1.0;Setingkat Lebih Tinggi;1.0;2.0;Rendah;Sangat Rendah;1.0;Sangat Rendah;2.0;Rendah;3.0;Cukup Tinggi;4.0;Tinggi;5.0;Sangat Tinggi;3.0;Cukup Tinggi;2.0;Rendah;2.0;Rendah;4.0;Tinggi;2.0;Sangat Tinggi;3.0;Cukup Tinggi;5.0;Sangat Tinggi;3;1;5;3;3;2;2;Cukup Besar;Sangat Besar;Tidak Sama Sekali;Cukup Besar;Cukup Besar;Besar;Besar;2.0;6.0;6.0;0;Tidak;0;Tidak;1;Ya;1;Ya;1;Ya;0;Tidak;0;Tidak;0;Tidak;0;Tidak;1;Ya;1;Ya;0;Tidak;1;Ya;1;Ya
ID-016;1.0;Bekerja (full time / part time);2.0;Tidak;12.0;6000000.0;;;4.0;Organisasi non-profit/Lembaga Swadaya Masyarakat;Human Rights Watch;;;3.0;Multinasional/Internasional;;;;;;1.0;Biaya Sendiri/Keluarga;3.0;Cukup Erat;3.0;Setingkat Lebih Rendah;5.0;5.0;Sangat Tinggi;Sangat Tinggi;5.0;Sangat Tinggi;5.0;Sangat Tinggi;2.0;Rendah;2.0;Rendah;4.0;Tinggi;3.0;Cukup Tinggi;3.0;Cukup Tinggi;5.0;Sangat Tinggi;3.0;Cukup Tinggi;3.0;Cukup Tinggi;2.0;Rendah;3.0;Cukup Tinggi;1;2;3;4;3;3;4;Sangat Besar;Besar;Cukup Besar;Kurang Besar;Cukup Besar;Cukup Besar;Kurang Besar;4.0;6.0;6.0;0;Tidak;0;Tidak;1;Ya;1;Ya;0;Tidak;0;Tidak;0;Tidak;1;Ya;0;Tidak;0;Tidak;0;Tidak;0;Tidak;0;Tidak;1;Ya
ID-017;1.0;Bekerja (full time / part time);2.0;Tidak;6.0;4500000.0;;;1.0;Instansi pemerintah;Kementerian Perindustrian;;;2.0;Nasional/Wiraswasta Berbadan Hukum;;;;;;1.0;Biaya Sendiri/Keluarga;2.0;Erat;2.0;Tingkat yang Sama;4.0;4.0;Tinggi;Tinggi;5.0;Sangat Tinggi;5.0;Sangat Tinggi;2.0;Rendah;2.0;Rendah;2.0;Rendah;3.0;Cukup Tinggi;3.0;Cukup Tinggi;5.0;Sangat Tinggi;3.0;Cukup Tinggi;4.0;Sangat Tinggi;2.0;Rendah;5.0;Sangat Tinggi;4;3;2;3;3;1;1;Kurang Besar;Cukup Besar;Besar;Cukup Besar;Cukup Besar;Sangat Besar;Sangat Besar;2.0;5.0;5.0;0;Tidak;0;Tidak;1;Ya;1;Ya;1;Ya;0;Tidak;0;Tidak;1;Ya;0;Tidak;0;Tidak;1;Ya;0;Tidak;0;Tidak;1;Ya
ID-018;3.0;Wiraswasta;;;;;;;;;;4.0;Freelance/Kerja Lepas;;;;;;;;3.0;Beasiswa BIDIKMISI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;2;3;3;4;3;1;Tidak Sama Sekali;Besar;Cukup Besar;Cukup Besar;Kurang Besar;Cukup Besar;Sangat Besar;0.0;0.0;;0;Tidak;1;Ya;0;Tidak;1;Ya;0;Tidak;1;Ya;0;Tidak;0;Tidak;1;Ya;0;Tidak;1;Ya;0;Tidak;0;Tidak;0;Tidak
ID-019;1.0;Bekerja (full time / part time);1.0;Ya;12.0;6000000.0;;;3.0;Institusi/Organisasi Multilateral;Uni Eropa (European Union);;;3.0;Multinasional/Internasional;;;;;;2.0;Beasiswa ADIK;3.0;Cukup Erat;2.0;Tingkat yang Sama;4.0;4.0;Tinggi;Tinggi;3.0;Cukup Tinggi;4.0;Tinggi;5.0;Sangat Tinggi;4.0;Tinggi;2.0;Rendah;5.0;Sangat Tinggi;3.0;Cukup Tinggi;4.0;Tinggi;4.0;Tinggi;2.0;Sangat Tinggi;4.0;Tinggi;5.0;Sangat Tinggi;4;3;4;5;3;2;2;Kurang Besar;Cukup Besar;Kurang Besar;Tidak Sama Sekali;Cukup Besar;Besar;Besar;2.0;2.0;2.0;0;Tidak;0;Tidak;1;Ya;1;Ya;0;Tidak;0;Tidak;0;Tidak;0;Tidak;1;Ya;0;Tidak;1;Ya;0;Tidak;1;Ya;1;Ya
ID-020;1.0;Bekerja (full time / part time);1.0;Ya;2.0;4500000.0;;;1.0;Instansi pemerintah;Kementerian Energi dan Sumber Daya Mineral;;;2.0;Nasional/Wiraswasta Berbadan Hukum;;;;;;1.0;Biaya Sendiri/Keluarga;2.0;Erat;1.0;Setingkat Lebih Tinggi;1.0;1.0;Sangat Rendah;Sangat Rendah;4.0;Tinggi;4.0;Tinggi;4.0;Tinggi;3.0;Cukup Tinggi;4.0;Tinggi;4.0;Tinggi;3.0;Cukup Tinggi;1.0;Sangat Rendah;4.0;Tinggi;4.0;Sangat Rendah;3.0;Cukup Tinggi;1.0;Sangat Rendah;2;4;3;4;4;4;1;Besar;Kurang Besar;Cukup Besar;Kurang Besar;Kurang Besar;Kurang Besar;Sangat Besar;3.0;4.0;4.0;0;Tidak;0;Tidak;1;Ya;1;Ya;1;Ya;0;Tidak;0;Tidak;0;Tidak;1;Ya;0;Tidak;1;Ya;1;Ya;0;Tidak;1;Ya
ID-021;5.0;Tidak kerja tetapi sedang mencari kerja;1.0;Ya;;;;;;;;;;;;;;;;;3.0;Beasiswa BIDIKMISI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;4;2;4;3;5;3;Cukup Besar;Kurang Besar;Besar;Kurang Besar;Cukup Besar;Tidak Sama Sekali;Cukup Besar;1.0;6.0;6.0;0;Tidak;0;Tidak;1;Ya;1;Ya;0;Tidak;1;Ya;0;Tidak;1;Ya;1;Ya;0;Tidak;1;Ya;1;Ya;0;Tidak;1;Ya
ID-022;1.0;Bekerja (full time / part time);2.0;Tidak;2.0;4500000.0;;;1.0;Instansi pemerintah;Kementerian Komunikasi dan Informatika;;;2.0;Nasional/Wiraswasta Berbadan Hukum;;;;;;1.0;Biaya Sendiri/Keluarga;2.0;Erat;4.0;Tidak Perlu Pendidikan Tinggi;5.0;5.0;Sangat Tinggi;Sangat Tinggi;4.0;Tinggi;4.0;Tinggi;1.0;Sangat Rendah;5.0;Sangat Tinggi;3.0;Cukup Tinggi;5.0;Sangat Tinggi;5.0;Sangat Tinggi;5.0;Sangat Tinggi;2.0;Rendah;3.0;Sangat Rendah;3.0;Cukup Tinggi;1.0;Sangat Rendah;4;3;2;4;3;2;4;Kurang Besar;Cukup Besar;Besar;Kurang Besar;Cukup Besar;Besar;Kurang Besar;1.0;3.0;3.0;0;Tidak;0;Tidak;0;Tidak;0;Tidak;0;Tidak;1;Ya;0;Tidak;1;Ya;1;Ya;0;Tidak;1;Ya;0;Tidak;0;Tidak;1;Ya
ID-023;2.0;Belum memungkinkan bekerja;;;;;;;;;;;;;;;;;;;1.0;Biaya Sendiri/Keluarga;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;3;2;1;2;3;3;Sangat Besar;Cukup Besar;Besar;Sangat Besar;Besar;Cukup Besar;Cukup Besar;1.0;0.0;;0;Tidak;0;Tidak;1;Ya;1;Ya;0;Tidak;1;Ya;0;Tidak;0;Tidak;0;Tidak;1;Ya;0;Tidak;0;Tidak;0;Tidak;0;Tidak
ID-024;1.0;Bekerja (full time / part time);1.0;Ya;18.0;5500000.0;;;3.0;Institusi/Organisasi Multilateral;Perserikatan Bangsa-Bangsa (PBB);;;3.0;Multinasional/Internasional;;;;;;1.0;Biaya Sendiri/Keluarga;2.0;Erat;3.0;Setingkat Lebih Rendah;4.0;5.0;Sangat Tinggi;Tinggi;4.0;Tinggi;4.0;Tinggi;5.0;Sangat Tinggi;3.0;Cukup Tinggi;4.0;Tinggi;3.0;Cukup Tinggi;2.0;Rendah;3.0;Cukup Tinggi;2.0;Rendah;2.0;Tinggi;2.0;Rendah;4.0;Tinggi;3;4;2;1;3;4;3;Cukup Besar;Kurang Besar;Besar;Sangat Besar;Cukup Besar;Kurang Besar;Cukup Besar;2.0;5.0;5.0;0;Tidak;0;Tidak;1;Ya;1;Ya;0;Tidak;0;Tidak;0;Tidak;0;Tidak;0;Tidak;1;Ya;1;Ya;1;Ya;0;Tidak;0;Tidak
ID-025;1.0;Bekerja (full time / part time);2.0;Tidak;6.0;2000000.0;;;1.0;Instansi pemerintah;Kementerian Energi dan Sumber Daya Mineral;;;2.0;Nasional/Wiraswasta Berbadan Hukum;;;;;;2.0;Beasiswa ADIK;1.0;Sangat Erat;1.0;Setingkat Lebih Tinggi;2.0;3.0;Cukup Tinggi;Rendah;3.0;Cukup Tinggi;3.0;Cukup Tinggi;4.0;Tinggi;3.0;Cukup Tinggi;5.0;Sangat Tinggi;5.0;Sangat Tinggi;3.0;Cukup Tinggi;2.0;Rendah;3.0;Cukup Tinggi;2.0;Rendah;3.0;Cukup Tinggi;2.0;Rendah;2;2;2;4;2;4;2;Besar;Besar;Besar;Kurang Besar;Besar;Kurang Besar;Besar;1.0;3.0;3.0;0;Tidak;0;Tidak;1;Ya;1;Ya;1;Ya;1;Ya;0;Tidak;0;Tidak;1;Ya;0;Tidak;0;Tidak;0;Tidak;0;Tidak;1;Ya
ID-026;2.0;Belum memungkinkan bekerja;;;;;;;;;;;;;;;;;;;3.0;Beasiswa BIDIKMISI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;3;5;2;4;Besar;Besar;Besar;Cukup Besar;Tidak Sama Sekali;Besar;Kurang Besar;1.0;0.0;;0;Tidak;0;Tidak;1;Ya;1;Ya;0;Tidak;0;Tidak;0;Tidak;0;Tidak;1;Ya;0;Tidak;1;Ya;0;Tidak;0;Tidak;0;Tidak
ID-027;1.0;Bekerja (full time / part time);2.0;Tidak;6.0;2500000.0;;;1.0;Instansi pemerintah;Kementerian Perindustrian;;;2.0;Nasional/Wiraswasta Berbadan Hukum;;;;;;1.0;Biaya Sendiri/Keluarga;1.0;Sangat Erat;1.0;Setingkat Lebih Tinggi;2.0;2.0;Rendah;Rendah;4.0;Tinggi;4.0;Tinggi;4.0;Tinggi;3.0;Cukup Tinggi;3.0;Cukup Tinggi;3.0;Cukup Tinggi;4.0;Tinggi;3.0;Cukup Tinggi;4.0;Tinggi;3.0;Sangat Tinggi;1.0;Sangat Rendah;5.0;Sangat Tinggi;1;2;3;4;4;3;1;Sangat Besar;Besar;Cukup Besar;Kurang Besar;Kurang Besar;Cukup Besar;Sangat Besar;4.0;2.0;2.0;0;Tidak;0;Tidak;0;Tidak;1;Ya;0;Tidak;0;Tidak;0;Tidak;0;Tidak;0;Tidak;0;Tidak;0;Tidak;0;Tidak;0;Tidak;1;Ya
ID-028;3.0;Wiraswasta;;;;;;;;;;3.0;Staff (Karyawan);;;;;;;;3.0;Beasiswa BIDIKMISI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;4;1;5;2;3;3;Besar;Kurang Besar;Sangat Besar;Tidak Sama Sekali;Besar;Cukup Besar;Cukup Besar;0.0;0.0;;0;Tidak;0;Tidak;1;Ya;1;Ya;1;Ya;0;Tidak;0;Tidak;0;Tidak;0;Tidak;1;Ya;1;Ya;1;Ya;0;Tidak;1;Ya
ID-029;1.0;Bekerja (full time / part time);2.0;Tidak;1.0;4000000.0;;;1.0;Instansi pemerintah;Kementerian Energi dan Sumber Daya Mineral;;;2.0;Nasional/Wiraswasta Berbadan Hukum;;;;;;3.0;Beasiswa BIDIKMISI;1.0;Sangat Erat;1.0;Setingkat Lebih Tinggi;2.0;2.0;Rendah;Rendah;3.0;Cukup Tinggi;3.0;Cukup Tinggi;3.0;Cukup Tinggi;4.0;Tinggi;4.0;Tinggi;3.0;Cukup Tinggi;3.0;Cukup Tinggi;1.0;Sangat Rendah;5.0;Sangat Tinggi;4.0;Cukup Tinggi;2.0;Rendah;3.0;Cukup Tinggi;4;1;1;3;2;4;3;Kurang Besar;Sangat Besar;Sangat Besar;Cukup Besar;Besar;Kurang Besar;Cukup Besar;1.0;2.0;2.0;0;Tidak;1;Ya;0;Tidak;1;Ya;1;Ya;0;Tidak;0;Tidak;1;Ya;0;Tidak;0;Tidak;1;Ya;0;Tidak;0;Tidak;0;Tidak
ID-030;1.0;Bekerja (full time / part time);2.0;Tidak;6.0;3500000.0;;;1.0;Instansi pemerintah;Kementerian Dalam Negeri;;;2.0;Nasional/Wiraswasta Berbadan Hukum;;;;;;1.0;Biaya Sendiri/Keluarga;1.0;Sangat Erat;2.0;Tingkat yang Sama;3.0;3.0;Cukup Tinggi;Cukup Tinggi;5.0;Sangat Tinggi;5.0;Sangat Tinggi;2.0;Rendah;4.0;Tinggi;4.0;Tinggi;3.0;Cukup Tinggi;3.0;Cukup Tinggi;4.0;Tinggi;4.0;Tinggi;3.0;Cukup Tinggi;3.0;Cukup Tinggi;3.0;Cukup Tinggi;4;2;4;3;2;3;4;Kurang Besar;Besar;Kurang Besar;Cukup Besar;Besar;Cukup Besar;Kurang Besar;1.0;3.0;3.0;0;Tidak;1;Ya;1;Ya;0;Tidak;0;Tidak;0;Tidak;0;Tidak;0;Tidak;0;Tidak;0;Tidak;1;Ya;0;Tidak;1;Ya;0;Tidak
ID-031;1.0;Bekerja (full time / part time);1.0;Ya;15.0;5500000.0;;;3.0;Institusi/Organisasi Multilateral;Uni Eropa (European Union);;;3.0;Multinasional/Internasional;;;;;;3.0;Beasiswa BIDIKMISI;2.0;Erat;2.0;Tingkat yang Sama;3.0;4.0;Tinggi;Cukup Tinggi;4.0;Tinggi;4.0;Tinggi;5.0;Sangat Tinggi;4.0;Tinggi;3.0;Cukup Tinggi;4.0;Tinggi;2.0;Rendah;5.0;Sangat Tinggi;3.0;Cukup Tinggi;5.0;Cukup Tinggi;2.0;Rendah;3.0;Cukup Tinggi;4;2;5;4;1;2;4;Kurang Besar;Besar;Tidak Sama Sekali;Kurang Besar;Sangat Besar;Besar;Kurang Besar;6.0;3.0;3.0;0;Tidak;0;Tidak;0;Tidak;1;Ya;0;Tidak;0;Tidak;0;Tidak;0;Tidak;0;Tidak;0;Tidak;1;Ya;0;Tidak;1;Ya;1;Ya
ID-032;5.0;Tidak kerja tetapi sedang mencari kerja;1.0;Ya;;;;;;;;;;;;;;;;;1.0;Biaya Sendiri/Keluarga;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;3;3;3;3;3;Besar;Sangat Besar;Cukup Besar;Cukup Besar;Cukup Besar;Cukup Besar;Cukup Besar;3.0;3.0;3.0;0;Tidak;0;Tidak;1;Ya;1;Ya;1;Ya;0;Tidak;0;Tidak;1;Ya;1;Ya;1;Ya;0;Tidak;0;Tidak;0;Tidak;0;Tidak
ID-033;2.0;Belum memungkinkan bekerja;;;;;;;;;;;;;;;;;;;1.0;Biaya Sendiri/Keluarga;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;2;3;4;2;3;4;Tidak Sama Sekali;Besar;Cukup Besar;Kurang Besar;Besar;Cukup Besar;Kurang Besar;3.0;0.0;;0;Tidak;0;Tidak;0;Tidak;0;Tidak;0;Tidak;1;Ya;0;Tidak;1;Ya;1;Ya;1;Ya;1;Ya;0;Tidak;1;Ya;1;Ya
